"Invoice ID",AVG(Total)
860-79-0874,1042.65
687-47-8271,1039.29
283-26-5248,1034.46
751-41-9720,1023.75
303-96-2227,1022.49
744-16-7898,1022.385
271-88-8734,1020.705
234-65-2137,1003.59
554-42-2417,1002.12
325-77-6186,951.825
280-17-4359,950.25
219-22-9386,944.622
702-83-5291,943.299
731-81-9469,942.9
817-69-8206,942.4485
393-65-2792,939.54
751-69-0068,937.818
866-99-7614,936.6
277-35-5865,935.2665
384-59-6655,932.337
704-48-3927,931.035
827-77-7633,926.9505
766-85-7061,922.635
139-32-4183,921.186
743-04-1105,918.729
641-51-2661,914.55
746-04-1077,888.615
450-42-3339,888.405
805-86-0265,887.922
677-11-0152,881.307
852-62-7105,874.125
574-22-5561,867.615
628-90-8624,867.09
267-62-7380,864.57
861-77-0145,860.685
607-65-2441,860.475
678-79-0726,856.4535
549-84-7482,853.146
698-98-5964,852.705
138-17-5109,843.0345
638-60-7125,836.304
640-48-5028,835.2855
431-66-2305,833.9625
533-33-5337,833.595
699-88-1972,832.944
457-94-0464,830.3715
286-43-6208,829.71
228-96-1411,829.08
735-32-9839,829.08
232-11-3025,827.085
829-49-1914,822.255
227-07-4446,820.365
652-43-6591,817.236
373-09-4567,814.38
842-40-8179,810.6
880-46-5796,807.66
602-16-6955,804.3
593-14-4239,801.864
549-03-9315,796.908
418-02-5978,794.6505
305-14-0245,793.716
605-72-4132,793.548
376-02-8238,788.508
746-94-0204,786.618
571-94-0759,783.3
453-33-6436,782.208
243-55-8457,781.62
416-17-9926,779.31
315-22-5665,772.38
884-80-6021,771.435
197-77-7132,769.104
234-03-4040,767.025
742-04-5161,764.19
237-01-6122,763.4655
361-59-0574,760.452
729-06-2010,760.4415
817-48-8732,759.675
525-09-8450,757.365
448-61-3783,756.168
635-40-6220,752.64
725-96-3778,749.7
829-34-3910,749.49
803-17-8013,745.836
537-72-0426,745.395
155-45-3814,743.82
394-30-3170,742.812
189-98-2939,742.2975
149-71-6266,737.7615
135-84-8019,736.4385
148-41-7930,734.706
627-95-3243,734.076
183-21-3799,733.6035
174-64-0215,732.27
189-52-0236,731.6925
710-46-4433,731.43
435-13-4908,728.112
253-12-6086,723.24
399-46-5918,722.232
898-04-2717,721.98
338-65-2210,720.3
587-03-7455,718.7565
831-81-6575,714.3255
850-41-9669,709.317
